gene_name	RPKM
5_8S_rRNA.3	0.682172971
5_8S_rRNA.6	2.167694374
5S_rRNA.1	0.801677725
5S_rRNA.100	0.871665463
5S_rRNA.103	0.938716652
5S_rRNA.104	0.963419722
5S_rRNA.108	891.5599451
5S_rRNA.109	1.007613287
5S_rRNA.111	0.938716652
5S_rRNA.116	0.955042159
5S_rRNA.12	0.963419722
5S_rRNA.120	0.915248736
5S_rRNA.129	0.915248736
5S_rRNA.132	2.792284279
5S_rRNA.140	0.97194556
5S_rRNA.156	0.871665463
5S_rRNA.160	1.193802699
5S_rRNA.165	1.02644718
5S_rRNA.168	0.871665463
5S_rRNA.176	2.015226574
5S_rRNA.179	0.930761426
5S_rRNA.183	3.254217728
5S_rRNA.186	0.922939902
5S_rRNA.187	1.007613287
5S_rRNA.193	0.946809037
5S_rRNA.198	1.007613287
5S_rRNA.202	2.768819705
5S_rRNA.211	1.120712738
5S_rRNA.213	0.922939902
5S_rRNA.214	0.907684697
5S_rRNA.223	6.685295114
5S_rRNA.226	0.97194556
5S_rRNA.239	38.24432218
5S_rRNA.251	0.946809037
5S_rRNA.258	1.120712738
5S_rRNA.263	0.930761426
5S_rRNA.269	0.801677725
5S_rRNA.27	0.938716652
5S_rRNA.276	5.831673361
5S_rRNA.278	4.03786207
5S_rRNA.284	1.292115862
5S_rRNA.291	2.405033175
5S_rRNA.300	1.996906333
5S_rRNA.309	9.307614263
5S_rRNA.31	0.938716652
5S_rRNA.312	0.989458093
5S_rRNA.323	2.112112467
5S_rRNA.326	1.132266477
5S_rRNA.328	2.132618414
5S_rRNA.331	1.926839444
5S_rRNA.332	0.915248736
5S_rRNA.344	2.968374278
5S_rRNA.347	0.946809037
5S_rRNA.350	0.955042159
5S_rRNA.384	2.534534961
5S_rRNA.40	0.915248736
5S_rRNA.403	1.02644718
5S_rRNA.404	0.878638786
5S_rRNA.405	0.838395789
5S_rRNA.415	1.156103666
5S_rRNA.417	2.28812184
5S_rRNA.43	1.743330925
5S_rRNA.436	3.630738787
5S_rRNA.44	1.845879803
5S_rRNA.444	2.941870937
5S_rRNA.45	0.938716652
5S_rRNA.452	2.496132916
5S_rRNA.464	0.844844987
5S_rRNA.47	1.845879803
5S_rRNA.482	3.137995666
5S_rRNA.486	0.885724583
5S_rRNA.491	0.807572414
5S_rRNA.506	0.851394173
5S_rRNA.60	1.845879803
5S_rRNA.62	0.989458093
5S_rRNA.76	1.007613287
5S_rRNA.78	1.01694304
5S_rRNA.8	0.946809037
5S_rRNA.81	0.915248736
5S_rRNA.88	5.913914909
7SK.10	0.710872805
7SK.102	0.367323907
7SK.107	0.374845899
7SK.11	0.724949494
7SK.112	0.39365537
7SK.113	2.431657158
7SK.121	0.336901375
7SK.128	3.763639662
7SK.130	0.349776587
7SK.131	0.343218276
7SK.132	0.385367889
7SK.134	1.856279126
7SK.137	0.347562811
7SK.149	1.84278269
7SK.154	1.361527045
7SK.157	0.346466398
7SK.164	2.28812184
7SK.17	0.355436402
7SK.170	0.790142794
7SK.172	0.659638729
7SK.176	0.563229991
7SK.178	0.306787286
7SK.184	0.329819364
7SK.188	1.06977125
7SK.189	0.695125622
7SK.196	1.390251244
7SK.20	0.998453166
7SK.201	0.345376881
7SK.204	0.386724818
7SK.205	0.389467547
7SK.206	0.335871096
7SK.208	0.444655256
7SK.220	0.920361857
7SK.258	2.554182519
7SK.259	1.449898988
7SK.260	1.621104772
7SK.27	1.445129583
7SK.285	0.450122329
7SK.291	1.339388394
7SK.30	0.330812796
7SK.31	0.690753763
7SK.34	0.355436402
7SK.37	0.332817722
7SK.4	0.334847098
7SK.45	0.682172971
7SK.49	0.337937995
7SK.50	0.332817722
7SK.54	0.717842146
7SK.61	3.64883217
7SK.63	0.690753763
7SK.66	1.777182011
7SK.69	0.744609141
7SK.79	0.374845899
7SK.80	1.16427401
7SK.83	0.360097863
7SK.9	1.045998555
7SK.90	0.688588391
7SK.92	0.327850293
7SK.95	0.75744723
A1BG	4.539965417
A2LD1	1.9067682
A2M	0.113366895
A2ML1	0.171508645
A3GALT2	0.107360556
A4GALT	22.19310593
AAAS	30.62793155
AACS	32.21146409
AACSP1	0.46702983
AADAT	1.505849313
AAGAB	23.23398058
AAK1	5.614773307
AAMP	71.07491064
AANAT	0.287211946
AARS	311.923192
AARS2	8.150320865
AARSD1	10.628695
AASDH	1.2237309
AASDHPPT	0.533672732
AASS	0.169857483
AATF	29.71564587
AATK	0.376058069
AB015752.1	0.560356369
AB015752.3	0.190017039
AB015752.4	1.041746529
AB019437.17	0.439319393
AB019437.21	0.372304571
AB019437.4	2.790134714
AB019437.7	0.271184811
AB019439.1	0.255418252
AB019439.19	0.455725512
AB019439.32	0.455725512
AB019439.5	0.254825634
AB019440.14	0.377422159
AB019440.19	1.815369393
AB019441.29	2.802675555
ABAT	24.75398837
ABCA1	0.481434441
ABCA10	0.086317077
ABCA12	3.88628694
ABCA13	0.102262429
ABCA17P	0.131124461
ABCA2	60.90882684
ABCA3	22.75677172
ABCA5	3.448533565
ABCA7	1.675807545
ABCA9	0.443068434
ABCB10	1.480723908
ABCB4	0.081962573
ABCB5	0.117758951
ABCB6	0.691898912
ABCB7	6.468733177
ABCB8	5.910126366
ABCB9	3.500898747
ABCC1	26.03337169
ABCC10	9.45469213
ABCC11	0.090357753
ABCC13	0.107676322
ABCC2	0.124054799
ABCC3	12.00168451
ABCC4	0.470403668
ABCC5	13.39252668
ABCC6	0.300903694
ABCC8	1.102487937
ABCC9	2.796868209
ABCD1	11.06092086
ABCD1P2	0.137201559
ABCD1P4	0.181837497
ABCD3	2.313795751
ABCD4	4.01638408
ABCE1	2.751642585
ABCF1	0.909563961
ABCF1	0.909563961
ABCF1	0.909563961
ABCF1	0.909563961
ABCF2	15.9510355
ABCF3	31.85992435
ABCG1	4.266771085
ABCG2	1.201532165
ABCG4	0.028534645
ABCG5	0.108634865
ABHD1	0.313799567
ABHD10	4.198129337
ABHD11	41.13345791
ABHD12	43.31975594
ABHD12B	0.19290957
ABHD13	0.658402987
ABHD14A	1.961247291
ABHD14B	10.41674145
ABHD15	6.092559435
ABHD2	27.51104684
ABHD3	3.831273778
ABHD4	9.951902476
ABHD5	4.93909377
ABHD6	0.575257062
ABHD8	3.259669983
ABI1	20.43415592
ABI2	9.137368368
ABI3	0.104153483
ABL1	23.69551358
ABL2	3.219649703
ABLIM1	2.381405436
ABLIM2	2.517421896
ABLIM3	9.398877366
ABP1	0.105100333
ABR	31.22162291
ABRA	0.119596931
ABT1	19.18978281
ABTB1	7.790736127
ABTB2	12.41243084
AC000029.2	0.810552386
AC000032.1	0.252250455
AC000035.3	0.192683944
AC000036.4	0.432826988
AC000036.5	0.636610898
AC000068.5	0.89037073
AC000078.5	0.4831225
AC000079.1	1.241528475
AC000082.1	0.990573604
AC000092.1	0.392249458
AC000093.1	0.362873948
AC000094.3	1.194730285
AC000095.8	0.485435794
AC000099.1	0.287211946
AC000111.6	0.584201321
AC000120.7	0.967663862
AC000123.4	0.212848543
AC000367.1	0.559721764
AC002055.1	0.294154264
AC002055.4	0.294154264
AC002056.3	0.289025917
AC002056.5	0.386724818
AC002069.5	0.221282434
AC002075.4	0.245704359
AC002076.10	1.45884049
AC002094.1	2.928795955
AC002094.2	0.732198989
AC002094.3	4.673610566
AC002094.5	3.660994943
AC002115.6	4.972126705
AC002115.7	1.381507526
AC002116.5	2.235474788
AC002126.5	7.511043359
AC002127.4	0.277348102
AC002303.1	0.378433627
AC002310.1	3.517681974
AC002310.2	4.053177385
AC002310.7	0.147620764
AC002314.2	0.949537593
AC002314.3	0.158943341
AC002351.1	0.603460705
AC002359.1	0.603460705
AC002365.1	2.196596966
AC002365.2	0.487050325
AC002400.1	0.610542702
AC002401.1	0.234679163
AC002407.1	8.751382335
AC002429.5	0.158637239
AC002450.1	0.957818445
AC002451.3	0.427353495
AC002463.3	0.092449367
AC002464.1	0.946809037
AC002467.7	1.170181032
AC002470.1	1.426361666
AC002472.11	2.340955914
AC002472.13	0.686007797
AC002472.8	1.780423073
AC002472.9	0.573524012
AC002485.1	2.928795955
AC002504.1	0.754844318
AC002511.1	2.66947548
AC002511.2	0.24406633
AC002553.2	3.584950538
AC002558.2	1.326247225
AC002558.3	1.224868197
AC002565.1	2.030784462
AC002992.1	1.01694304
AC003002.1	0.309107752
AC003006.1	0.733872734
AC003029.4	0.439319393
AC003051.1	0.640822454
AC003070.1	0.151364179
AC003071.1	1.128502521
AC003075.4	0.152541456
AC003079.1	1.947337736
AC003080.4	0.143194066
AC003087.4	0.424873688
AC003088.1	0.221878481
AC003092.2	0.246255265
AC003099.1	4.911090778
AC003102.3	2.545076699
AC003104.1	0.161752354
AC003111.1	2.03388608
AC003111.2	2.207635142
AC003664.1	1.132266477
AC003665.1	2.008438034
AC003682.1	1.352144474
AC003682.2	0.571855259
AC003684.2	0.593674856
AC003958.2	0.197637259
AC003963.1	2.942679365
AC003967.1	1.105669614
AC003980.1	2.211339228
AC004014.3	0.612434098
AC004016.1	1.168402642
AC004019.10	0.679159839
AC004019.13	2.868244134
AC004023.1	0.835207972
AC004034.1	0.24085493
AC004041.2	0.69807107
AC004049.2	1.7341555
AC004049.3	0.058984881
AC004053.1	0.777097983
AC004057.1	0.315603012
AC004063.1	2.610215773
AC004066.1	0.635313656
AC004066.1	0.405525594
AC004069.2	0.800217474
AC004069.3	0.613574572
AC004073.1	0.09961891
AC004073.2	0.37677478
AC004073.4	0.116964695
AC004074.4	0.103320648
AC004080.22	0.249047275
AC004112.6	0.101412602
AC004128.1	1.964110426
AC004129.7	0.382682398
AC004134.1	0.890779785
AC004148.1	3.166265897
AC004160.4	0.585238979
AC004223.1	0.148218419
AC004241.1	0.156285803
AC004258.1	2.702747945
AC004381.6	3.464538362
AC004383.3	0.760068154
AC004383.4	1.300616625
AC004386.1	5.565701772
AC004386.2	5.961445807
AC004386.4	0.577292238
AC004410.1	19.97435735
AC004447.1	12.23363528
AC004448.1	876.3102384
AC004448.3	2.363269669
AC004448.5	0.406777216
AC004448.7	0.209199711
AC004449.1	0.909877929
AC004453.8	0.807572414
AC004461.4	3.956406639
AC004471.9	0.566133239
AC004490.1	0.521471157
AC004507.1	1.254355002
AC004510.1	1.036782709
AC004510.2	0.758755429
AC004540.4	0.539262758
AC004540.5	0.242182686
AC004596.1	2.487938126
AC004671.1	0.363976299
AC004675.1	0.283651468
AC004687.1	0.799960335
AC004696.1	0.166408861
AC004743.1	1.303450212
AC004765.1	0.313575584
AC004771.1	2.298382476
AC004772.1	0.406777216
AC004782.1	0.283066619
AC004790.2	0.065924279
AC004801.1	65.89790898
AC004803.1	2.904413226
AC004815.1	0.302561566
AC004832.1	0.15667596
AC004837.5	0.150246031
AC004840.1	2.095989471
AC004840.2	0.288267318
AC004840.9	3.985117863
AC004841.1	3.483310902
AC004846.1	0.326874549
AC004846.2	0.97311988
AC004851.1	4.224224935
AC004854.4	3.126828421
AC004862.1	0.450122329
AC004863.6	0.30482238
AC004866.1	1492.449757
AC004876.1	0.146439798
AC004878.2	3.409982354
AC004878.3	0.900983169
AC004878.7	2.862015591
AC004878.8	3.530245124
AC004884.1	0.467361057
AC004893.10	0.473064673
AC004893.11	3.199869035
AC004895.4	0.602357486
AC004898.1	2.218784814
AC004920.2	1.417159333
AC004923.1	0.89157702
AC004932.2	4.576243679
AC004932.3	0.335358315
AC004938.5	0.713180833
AC004941.3	0.880046861
AC004945.1	0.223458491
AC004945.1	0.051935145
AC004949.1	0.035950851
AC004951.1	0.552087773
AC004951.5	0.558930526
AC004951.6	35.6682144
AC004957.5	0.058889999
AC004965.1	1.591736932
AC004967.1	2.297695571
AC004967.7	6.388313324
AC004967.8	1.646271816
AC004968.1	0.406777216
AC004968.2	2.288598631
AC004971.1	4.160221527
AC004980.10	0.441971221
AC004980.2	0.427829125
AC004980.7	1.400155546
AC004980.9	1.209579827
AC004985.12	1.314203313
AC004985.13	0.58475021
AC004987.10	0.648601466
AC004987.8	0.166535024
AC004987.9	0.0956706
AC004988.1	0.496125797
AC004996.2	0.307646634
AC005004.1	0.369797469
AC005006.1	4.133381388
AC005007.3	0.229769557
AC005009.2	2.877637947
AC005013.5	0.186785456
AC005014.5	0.147620764
AC005019.2	0.254825634
AC005020.1	0.229649448
AC005022.1	0.180048932
AC005023.1	1.09725348
AC005034.3	0.323028966
AC005035.1	4.731645771
AC005035.2	0.265218308
AC005037.1	0.963419722
AC005037.3	0.937571876
AC005037.4	0.438442508
AC005041.10	7.527279323
AC005041.9	0.768040897
AC005042.2	0.274574621
AC005042.4	1.161220427
AC005062.2	0.409812867
AC005067.4	0.637618858
AC005068.1	0.38729303
AC005071.1	1.168402642
AC005071.3	0.626756435
AC005075.5	0.141351156
AC005076.5	0.856929896
AC005077.1	1.824649237
AC005077.12	2.060168059
AC005077.14	0.47137274
AC005077.7	0.522170436
AC005082.1	2.205418641
AC005082.12	2.087811023
AC005082.3	0.342682834
AC005083.1	0.148418714
AC005086.1	4.335388749
AC005086.2	0.501506157
AC005086.3	1.355924053
AC005086.4	7.734496359
AC005104.3	0.745451459
AC005105.1	2.755587592
AC005152.1	0.495845816
AC005152.3	0.864801955
AC005154.5	2.921006604
AC005154.6	2.412835933
AC005154.7	1.498038132
AC005154.9	0.622265429
AC005161.1	1.372873104
AC005162.5	0.950085193
AC005174.1	0.754844318
AC005176.1	0.119967065
AC005178.1	0.249613292
AC005186.1	1.502097684
AC005189.1	1.338708156
AC005189.6	0.708579666
AC005197.1	0.291712744
AC005197.2	1.003012313
AC005197.3	0.501506157
AC005197.4	3.610394715
AC005204.2	0.441083728
AC005205.2	0.642279815
AC005224.1	0.174795515
AC005224.2	0.214371857
AC005225.1	45.1355541
AC005235.1	0.30411746
AC005236.1	0.378723615
AC005237.4	0.392951157
AC005239.1	1.101971722
AC005251.1	1.615144828
AC005251.3	2.309506156
AC005263.1	0.754844318
AC005276.1	1.968276851
AC005280.3	1.540390579
AC005281.1	0.331145271
AC005294.1	0.101412602
AC005300.5	0.588899991
AC005301.5	0.729001613
AC005301.8	0.088501086
AC005323.1	0.085404237
AC005324.4	0.328340354
AC005324.6	0.147224998
AC005329.1	2.211339228
AC005329.2	0.584364917
AC005330.1	0.345376881
AC005332.1	21.18046883
AC005332.1	8.078008645
AC005332.2	1.50451847
AC005336.1	0.120032621
AC005342.1	0.140208317
AC005355.1	1.926839444
AC005355.1	0.153823317
AC005355.2	3.466390561
AC005358.1	0.833849174
AC005358.1	0.358238157
AC005392.2	0.420804016
AC005394.2	0.706755781
AC005399.1	0.369797469
AC005412.1	0.209199711
AC005484.1	0.930761426
AC005488.1	0.42974228
AC005488.11	0.126386477
AC005488.12	0.103223542
AC005492.2	0.151698686
AC005498.1	0.161593695
AC005510.2	0.106682708
AC005512.3	1.81751522
AC005512.4	0.782635499
AC005517.1	1.561561824
AC005517.2	0.794429282
AC005517.3	1.572206417
AC005522.7	0.242449996
AC005532.5	0.162710886
AC005534.6	0.25364861
AC005534.8	2.812354606
AC005534.9	6.196625683
AC005537.2	0.172688441
AC005539.2	0.445557194
AC005540.3	0.119510172
AC005550.6	1.381507526
AC005562.2	1.230586536
AC005562.3	1.991336162
AC005582.1	0.11585427
AC005586.2	2.486420337
AC005588.2	1.355924053
AC005594.1	1.788177276
AC005609.1	0.145421845
AC005609.17	0.22849483
AC005618.1	0.862972516
AC005631.1	1.248066458
AC005632.2	0.74153686
AC005674.1	0.469625919
AC005682.5	1.432084281
AC005682.6	0.149733945
AC005682.7	1.10270932
AC005692.1	3.379379948
AC005696.1	3.908535527
AC005696.2	1.861522853
AC005697.2	0.193874401
AC005702.2	1.096243027
AC005703.1	0.360097863
AC005726.1	2.196596966
AC005726.11	0.410387102
AC005726.2	3.735709126
AC005726.3	3.05082912
AC005726.4	2.968374278
AC005726.5	2.614996388
AC005726.6	17.33880629
AC005726.6	1.591736932
AC005726.7	2.614996388
AC005740.4	5.766722345
AC005740.5	0.63854563
AC005746.1	2.944423315
AC005752.1	0.056322999
AC005752.2	0.07520017
AC005752.3	0.38259908
AC005753.1	1.844379901
AC005754.1	0.057322468
AC005768.1	0.230613855
AC005772.2	0.112530582
AC005779.1	5.79959595
AC005790.2	0.54371212
AC005803.1	0.7882525
AC005808.3	4.612277094
AC005822.1	0.106218422
AC005831.1	1.104610543
AC005837.1	0.173506869
AC005838.2	0.070539402
AC005840.1	3.04784104
AC005840.2	0.335871096
AC005841.1	2.991008941
AC005846.1	0.403786207
AC005863.1	0.549515585
AC005866.1	3.528669825
AC005884.1	1.399106348
AC005899.1	0.652454544
AC005915.1	0.225523302
AC005932.1	0.729766434
AC005940.1	1.652307452
AC005943.1	3.468310999
AC005945.1	0.285107769
AC005946.1	0.142036661
AC005971.1	0.695125622
AC005971.2	2.768819705
AC005971.3	2.199739451
AC005996.1	1.913411991
AC006000.5	1.304392498
AC006001.2	4.08669203
AC006002.1	5.28114185
AC006004.1	0.665635444
AC006014.8	0.336213821
AC006017.1	7.789350944
AC006019.3	0.355724205
AC006021.1	0.318347386
AC006024.4	0.063891709
AC006027.2	0.164909682
AC006028.10	1.009465518
AC006028.11	0.273208578
AC006028.9	3.674356239
AC006030.1	0.943113451
AC006032.1	6.03460705
AC006033.12	0.466368783
AC006033.13	0.052002769
AC006035.1	0.238242621
AC006038.4	0.182139052
AC006039.4	0.685365668
AC006042.6	1.886390524
AC006042.7	0.386724818
AC006042.8	0.373825215
AC006050.3	0.239454611
AC006057.1	1.384991782
AC006057.2	1.254546554
AC006062.1	2.905551542
AC006064.1	0.403600729
AC006111.1	0.220541864
AC006111.2	0.385367889
AC006116.1	0.478710422
AC006125.1	1.467659443
AC006128.1	2.238042192
AC006132.1	6.350705514
AC006132.2	1.391178079
AC006144.1	0.062438799
AC006159.3	0.526341126
AC006159.5	0.569066572
AC006160.1	1.926839444
AC006160.5	0.292879595
AC006213.1	0.172282115
AC006213.2	0.851782583
AC006230.3	0.119640358
AC006238.1	0.737113076
AC006277.2	0.329819364
AC006296.3	0.121627739
AC006305.1	0.429358281
AC006326.2	0.232690357
AC006335.11	0.332817722
AC006349.1	1.474226152
AC006357.1	0.454781981
AC006368.1	9939.908059
AC006369.2	1.002097156
AC006371.1	1.132266477
AC006372.4	0.108500715
AC006377.1	1.120712738
AC006427.1	4.700217301
AC006435.1	0.664628431
AC006443.1	0.674758047
AC006445.6	0.813554432
AC006445.7	0.467361057
AC006455.1	0.150813386
AC006461.2	0.336901375
AC006465.3	1.768931711
AC006466.1	1.02485084
AC006480.1	2.423831135
AC006482.1	0.402307137
AC006483.5	1.052682252
AC006483.7	0.977713783
AC006483.8	2.714565389
AC006486.1	2.347431956
AC006487.1	1.307498194
AC006504.1	2.479229081
AC006504.2	2.14302143
AC006504.3	0.53143475
AC006509.6	1.060426122
AC006509.7	13.85865594
AC006538.1	4.874954102
AC006539.2	0.876885016
AC006547.13	4.324009776
AC006547.14	0.086753435
AC006552.1	0.24781103
AC006557.2	2.015226574
AC006947.1	1.540699275
AC006953.1	1.148047195
AC006960.7	0.206835873
AC006978.6	7.565265078
AC006994.1	0.261811319
AC006994.2	0.217055036
AC006999.1	0.496967639
AC007000.10	0.676569907
AC007000.11	1.627108864
AC007000.7	0.61702162
AC007009.1	0.512027265
AC007014.1	0.297641865
AC007016.3	0.450122329
AC007036.4	1.25663442
AC007038.7	1.748087626
AC007040.1	2.588582283
AC007040.5	0.294449995
AC007040.6	3.22351756
AC007040.7	0.38912258
AC007050.17	1.347605501
AC007050.18	0.391201597
AC007056.1	1.339388394
AC007066.1	1.212371632
AC007078.4	0.242449996
AC007092.1	0.7004111
AC007099.1	1.496319459
AC007126.1	1.30941254
AC007128.1	0.05927137
AC007130.1	0.358921073
AC007130.2	0.922235367
AC007161.5	0.246808648
AC007163.6	0.39178305
AC007189.2	0.083967774
AC007193.1	0.56717738
AC007216.1	11.74281397
AC007224.1	1.479189876
AC007228.1	0.367323907
AC007238.1	88.63350768
AC007241.2	8.04941885
AC007241.3	0.280178184
AC007242.3	0.385367889
AC007245.3	0.599990546
AC007246.3	1.527232694
AC007250.4	0.540368257
AC007255.7	2.319182317
AC007255.8	1.235431365
AC007256.5	0.039721464
AC007272.2	1.262412049
AC007272.2	0.570248434
AC007276.3	10.56056234
AC007276.5	0.345920782
AC007276.7	4.633020896
AC007277.3	0.551908785
AC007279.2	0.524873827
AC007283.4	39.02583442
AC007283.5	0.740425944
AC007285.6	1.229897517
AC007308.6	1.601685288
AC007312.3	0.425697086
AC007314.1	1.95654406
AC007317.1	0.200054368
AC007319.1	3.766455703
AC007319.1	2.252240556
AC007333.2	0.055694649
AC007340.1	0.625811101
AC007342.1	0.183049747
AC007346.1	2.928795955
AC007347.1	0.610165824
AC007353.1	1.076763219
AC007365.1	0.0637804
AC007365.4	2.871368583
AC007383.3	3.797308585
AC007383.4	0.856221355
AC007383.6	1.036130644
AC007383.7	0.377422159
