miRNA,RF,RRF
hsa-miR-21     ,63458,0.3364
hsa-let-7f     ,22808.57,0.1209
hsa-let-7a     ,6448.32,0.0342
hsa-let-7i     ,5715.08,0.0303
hsa-miR-103    ,5143.67,0.0273
hsa-miR-93     ,5073,0.0269
hsa-miR-25     ,3590.67,0.0190
hsa-miR-7      ,2824,0.0150
hsa-miR-23a    ,2756.5,0.0146
hsa-miR-203    ,2751,0.0146
hsa-miR-19b    ,2656.5,0.0141
hsa-miR-378    ,2486,0.0132
hsa-miR-24     ,2471,0.0131
hsa-miR-106b   ,2319.33,0.0123
hsa-let-7g     ,2140.33,0.0113
hsa-miR-30a    ,1934,0.0103
hsa-miR-27a    ,1912,0.0101
hsa-miR-181a   ,1835,0.0097
hsa-miR-101    ,1811,0.0096
hsa-let-7e     ,1752.47,0.0093
hsa-miR-30e    ,1688.5,0.0090
hsa-miR-26b    ,1683,0.0089
hsa-miR-22     ,1664,0.0088
hsa-let-7d     ,1575.75,0.0084
hsa-miR-141    ,1560,0.0083
hsa-miR-99a    ,1531.5,0.0081
hsa-miR-27b    ,1475,0.0078
hsa-miR-425    ,1458,0.0077
hsa-let-7b     ,1348.1,0.0071
hsa-miR-99b    ,1309,0.0069
hsa-miR-375    ,1260,0.0067
hsa-miR-30d    ,1213.5,0.0064
hsa-miR-26a    ,1156,0.0061
hsa-miR-200a   ,887,0.0047
hsa-miR-182    ,838,0.0044
hsa-miR-200c   ,837,0.0044
hsa-miR-151-3p ,818,0.0043
hsa-miR-320a   ,805.47,0.0043
hsa-miR-191    ,763,0.0040
hsa-miR-19a    ,739.5,0.0039
hsa-miR-193b   ,666,0.0035
hsa-miR-183    ,617,0.0033
hsa-miR-23b    ,597.5,0.0032
hsa-miR-374a   ,592,0.0031
hsa-miR-200b   ,582,0.0031
hsa-miR-301a   ,570.5,0.0030
hsa-miR-30c    ,510,0.0027
hsa-miR-107    ,509.33,0.0027
hsa-miR-424    ,500,0.0027
hsa-miR-181b   ,486.5,0.0026
hsa-miR-98     ,464.25,0.0025
hsa-miR-345    ,453,0.0024
hsa-miR-33a    ,443.5,0.0024
hsa-miR-17     ,438.83,0.0023
hsa-miR-423-3p ,426,0.0023
hsa-miR-196a   ,424,0.0022
hsa-miR-30b    ,416,0.0022
hsa-miR-193a-3p,408,0.0022
hsa-let-7c     ,407.13,0.0022
hsa-miR-186    ,389,0.0021
hsa-miR-374b   ,374,0.0020
hsa-miR-148a   ,352,0.0019
hsa-miR-106b*  ,351,0.0019
hsa-miR-16     ,350,0.0019
hsa-miR-21*    ,347,0.0018
hsa-miR-185    ,318,0.0017
hsa-miR-652    ,310,0.0016
hsa-miR-96     ,298,0.0016
hsa-miR-331-3p ,290,0.0015
hsa-miR-324-5p ,273,0.0014
hsa-miR-34a    ,249,0.0013
hsa-miR-629    ,248,0.0013
hsa-miR-20a    ,232,0.0012
hsa-miR-148b   ,223,0.0012
hsa-miR-542-3p ,217,0.0012
hsa-miR-181a*  ,176,0.0009
hsa-miR-429    ,169,0.0009
hsa-miR-15b    ,168,0.0009
hsa-miR-30e*   ,159.5,0.0008
hsa-miR-29b    ,139,0.0007
hsa-miR-17*    ,138,0.0007
hsa-miR-92a    ,137.33,0.0007
hsa-miR-125a-5p,137,0.0007
hsa-miR-130b   ,137,0.0007
hsa-miR-365    ,134,0.0007
hsa-miR-15b*   ,130,0.0007
hsa-miR-769-5p ,130,0.0007
hsa-miR-196a*  ,129,0.0007
hsa-miR-423-5p ,129,0.0007
hsa-miR-532-5p ,121,0.0006
hsa-miR-497    ,121,0.0006
hsa-miR-15a    ,120,0.0006
hsa-miR-140-3p ,120,0.0006
hsa-miR-151-5p ,117,0.0006
hsa-miR-30a*   ,107,0.0006
hsa-miR-505    ,106,0.0006
hsa-miR-18a    ,98,0.0005
hsa-let-7d*    ,97,0.0005
hsa-miR-93*    ,96,0.0005
hsa-miR-450a   ,92,0.0005
hsa-miR-33b    ,91.5,0.0005
hsa-miR-28-3p  ,85,0.0005
hsa-miR-374a*  ,85,0.0005
hsa-miR-192    ,84.5,0.0004
hsa-miR-10a    ,83,0.0004
hsa-miR-361-5p ,81,0.0004
hsa-miR-362-5p ,78,0.0004
hsa-miR-454    ,78,0.0004
hsa-miR-128    ,74,0.0004
hsa-miR-125b   ,70,0.0004
hsa-miR-671-5p ,70,0.0004
hsa-miR-32     ,68,0.0004
hsa-miR-126    ,64,0.0003
