,aggregated.R,aggregated.RF
miR-21/590-5p,63512,0.3367
let-7/98/4458/4500,42660,0.2262
miR-17/17-5p/20ab/20b-5p/93/106ab/427/518a-3p/519d,8082.99,0.0428
miR-30abcdef/30abe-5p/384-5p,5762,0.0306
miR-25/32/92abc/363/363-3p/367,3828,0.0203
miR-19ab,3396,0.018
miR-27abc/27a-3p,3387,0.0179
miR-23abc/23b-3p,3354,0.0178
miR-26ab/1297/4465,2839,0.015
miR-7/7ab,2824,0.015
miR-99ab/100,2847,0.015
miR-203,2751,0.0146
miR-378/422a/378bcdefhi,2486,0.0132
miR-24/24ab/24-3p,2471,0.0131
miR-141/200a,2447,0.013
miR-181abcd/4262,2405,0.0127
miR-101/101ab,1811,0.0096
miR-22/22-3p,1664,0.0088
miR-200bc/429/548a,1588,0.0084
miR-425/425-5p/489,1458,0.0077
miR-15abc/16/16abc/195/322/424/497/1907,1277,0.0068
miR-375,1260,0.0067
miR-193/193b/193a-3p,1074,0.0057
miR-374ab,966,0.0051
miR-320abcd/4429,883.99,0.0047
miR-182,838,0.0044
miR-151-3p,818,0.0043
miR-130ac/301ab/301b/301b-3p/454/721/4295/3666,803,0.0042
miR-191,763,0.004
miR-148ab-3p/152,635,0.0034
miR-183,617,0.0033
miR-33ab/33-5p,535,0.0029
miR-103a/107/107ab,509.33,0.0027
miR-345/345-5p,453,0.0024
miR-196abc,434,0.0023
miR-423-3p,426,0.0023
miR-186,389,0.0021
miR-185/882/3473/4306/4644,318,0.0017
miR-652,310,0.0016
miR-96/507/1271,298,0.0016
miR-331/331-3p,290,0.0015
miR-324-5p,273,0.0014
miR-34ac/34bc-5p/449abc/449c-5p,249,0.0013
miR-629,248,0.0013
miR-542-3p,217,0.0012
miR-125a-5p/125b-5p/351/670/4319,207,0.0011
miR-29abcd,219,0.0011
miR-33a-3p/365/365-3p,134,7.00E-04
miR-423a/423-5p/3184/3573-5p,129,7.00E-04
miR-769-5p,130,7.00E-04
miR-140-3p,120,6.00E-04
miR-151-5p/151b,117,6.00E-04
miR-505/505-3p,106,6.00E-04
miR-532-5p/511,121,6.00E-04
miR-18ab/4735-3p,99,5.00E-04
miR-28-3p,85,5.00E-04
miR-450a/451a,92,5.00E-04
miR-10abc/10a-5p,83,4.00E-04
miR-128/128ab,74,4.00E-04
miR-192/215,86,4.00E-04
miR-361-5p,81,4.00E-04
miR-362-5p/500b,78,4.00E-04
miR-671-5p,70,4.00E-04
miR-126-3p,64,3.00E-04
miR-1301/5047,53,3.00E-04
miR-197,60,3.00E-04
miR-221/222/222ab/1928,66,3.00E-04
miR-28-5p/708/1407/1653/3139,64,3.00E-04
miR-339-3p,62,3.00E-04
miR-340-5p,53,3.00E-04
miR-421,52,3.00E-04
miR-450b-5p,56,3.00E-04
miR-501-3p/502-3p/500/502a,50,3.00E-04
miR-744/1716,54,3.00E-04
miR-9/9ab,49,3.00E-04
miR-1307,38,2.00E-04
miR-135ab/135a-5p,29,2.00E-04
miR-190/190ab,34,2.00E-04
miR-193a-5p,38,2.00E-04
miR-296-3p,43,2.00E-04
miR-324-3p/1913,37,2.00E-04
miR-342-3p,36,2.00E-04
miR-344a-5p/484/3155/3155b,31,2.00E-04
miR-503,31,2.00E-04
miR-590-3p,31,2.00E-04
miR-660,30,2.00E-04
miR-942,30,2.00E-04
miR-1250,15,1.00E-04
miR-125a-3p/1554,21,1.00E-04
miR-1287,21,1.00E-04
miR-134/3118,10,1.00E-04
miR-140/140-5p/876-3p/1244,13,1.00E-04
miR-146ac/146b-5p,10,1.00E-04
miR-188-5p,24,1.00E-04
miR-194,21,1.00E-04
miR-210,15,1.00E-04
miR-218/218a,12,1.00E-04
miR-219-5p/508/508-3p/4782-3p,21,1.00E-04
miR-330-3p,14,1.00E-04
miR-331-5p,13,1.00E-04
miR-335/335-5p,26,1.00E-04
miR-338-5p,12,1.00E-04
miR-338/338-3p,10,1.00E-04
miR-339b/339-5p/3586-5p,22,1.00E-04
miR-369-3p,13,1.00E-04
miR-376abd/376b-3p,20,1.00E-04
miR-376c/741-5p,14,1.00E-04
miR-455-3p,23,1.00E-04
miR-455-5p,12,1.00E-04
miR-491-5p,11,1.00E-04
miR-501-5p,26,1.00E-04
miR-532-3p,22,1.00E-04
miR-548a-3p/548ef/2285a,17,1.00E-04
miR-556-5p,10,1.00E-04
miR-570,14,1.00E-04
miR-574-5p,22,1.00E-04
miR-576-3p,10,1.00E-04
miR-576-5p,11,1.00E-04
miR-584,13,1.00E-04
miR-589,18,1.00E-04
miR-615-3p,26,1.00E-04
miR-760-3p/1842,17,1.00E-04
miR-877,14,1.00E-04
miR-940,10,1.00E-04
miR-941,21.6,1.00E-04
miR-95,26,1.00E-04
miR-105/105ab,0,0
miR-1178,0,0
miR-1179,0,0
miR-1180,4,0
miR-1181,0,0
miR-1182,0,0
miR-1183,0,0
miR-1184,0,0
miR-1185/3679-5p,1,0
miR-1197,0,0
miR-1200,0,0
miR-1202/3972,0,0
miR-1203,0,0
miR-1204,0,0
miR-1205,0,0
miR-1206,0,0
miR-1207-5p/4763-3p,0,0
miR-1208,0,0
miR-122/122a/1352,0,0
miR-1224-3p,0,0
miR-1224-5p/1671,1,0
miR-1225-3p,0,0
miR-1225-5p,0,0
miR-1226/1656/1838,1,0
miR-1227,0,0
miR-1228,0,0
miR-1229,1,0
miR-1231,0,0
miR-1233,0,0
miR-1234,0,0
miR-1236,0,0
miR-1237/3557-5p,0,0
miR-1238,0,0
miR-124/124ab/506,0,0
miR-1243,0,0
miR-1244,0,0
miR-1245,0,0
miR-1246,0,0
miR-1247,0,0
miR-1248,0,0
miR-1249,1,0
miR-1251,0,0
miR-1252,6,0
miR-1253,0,0
miR-1254/3116,6,0
miR-1255ab,2,0
miR-1256,1,0
miR-1257,0,0
miR-1258,0,0
miR-1260/1260b/1391,1,0
miR-1261,0,0
miR-1262/4701-3p,0,0
miR-1263,0,0
miR-1264,0,0
miR-1265,0,0
miR-1266/4518,2,0
miR-1268/1268b,0,0
miR-1269/1269b,0,0
miR-127-5p,5,0
miR-127/127-3p,3,0
miR-1272,0,0
miR-1273,0,0
miR-1275/4665-5p,0,0
miR-1276,0,0
miR-1277,4,0
miR-1278,1,0
miR-1279,0,0
miR-1280,0,0
miR-1281,0,0
miR-1282,0,0
miR-1283,0,0
miR-1284/3596c,0,0
miR-1286,1,0
miR-1288,0,0
miR-1289,0,0
miR-129-3p/129ab-3p/129-1-3p/129-2-3p,2,0
miR-129-5p/129ab-5p,1,0
miR-1290,0,0
miR-1291/1291ab,0,0
miR-1292,3,0
miR-1293/4483,0,0
miR-1294,2,0
miR-1295,0,0
miR-1296,6,0
miR-1298,0,0
miR-1299,0,0
miR-1302/1302bd/4298,0,0
miR-1303,3,0
miR-1304,0,0
miR-1305,1,0
miR-1306/1306-3p,0,0
miR-132/212/212-3p,6,0
miR-1321/1943/4739/4756-5p,0,0
miR-1322,0,0
miR-1323/548o,4,0
miR-1324,0,0
miR-133abc,0,0
miR-136,2,0
miR-137/137ab,0,0
miR-138/138ab,1,0
miR-139-3p,0,0
miR-139-5p,0,0
miR-1404/2110,0,0
miR-142-3p,2,0
miR-142-5p,0,0
miR-143/1721/4770,1,0
miR-144,0,0
miR-145,1,0
miR-1468,0,0
miR-1469,0,0
miR-146b-3p,0,0
miR-147/147a/2423/2470,0,0
miR-147/147b,3,0
miR-1470,0,0
miR-1471,0,0
miR-149,2,0
miR-150/5127,0,0
miR-153,1,0
miR-1537,0,0
miR-1538/4745-3p,0,0
miR-1539,0,0
miR-154/872,0,0
miR-155,0,0
miR-1825,0,0
miR-184,4,0
miR-187,1,0
miR-188-3p,0,0
miR-1909,0,0
miR-1910,1,0
miR-1911,0,0
miR-1912,0,0
miR-1914,0,0
miR-1915,0,0
miR-1972,0,0
miR-1973,0,0
miR-1976,0,0
miR-198,0,0
miR-199ab-3p/3129-5p,14,0
miR-199ab-5p,2,0
miR-1ab/206/613,4,0
miR-202-3p,0,0
miR-204/204b/211,0,0
miR-205/205ab,2,0
miR-2052,0,0
miR-2053,0,0
miR-2054,0,0
miR-208ab/208ab-3p,1,0
miR-2113,0,0
miR-214/761/3619-5p,0,0
miR-216a,0,0
miR-216b/216b-5p,0,0
miR-217,0,0
miR-219-1-3p,1,0
miR-219-2-3p/219-3p,0,0
miR-223,0,0
miR-224,2,0
miR-290-5p/292-5p/371-5p/293,0,0
miR-292-3p/371-3p,0,0
miR-296-5p,5,0
miR-297ac/297b-5p,0,0
miR-298,0,0
miR-299-5p/3563-5p,0,0
miR-299/299-3p/3563-3p,1,0
miR-300/381/539-3p,0,0
miR-302ac/520f,0,0
miR-302f/1420d,0,0
miR-31,0,0
miR-323-5p/1421qns,0,0
miR-323/323-3p,1,0
miR-325-5p/1714,0,0
miR-326/330/330-5p,1,0
miR-328a/328b-3p,4,0
miR-329/329ab/362-3p,9,0
miR-337-3p,0,0
miR-337-5p,0,0
miR-342-5p/4664-5p,5,0
miR-346,0,0
miR-34b,0,0
miR-34bc-3p,0,0
miR-361-3p,0,0
miR-369-5p,2,0
miR-370,1,0
miR-374c/655,2,0
miR-377,2,0
miR-379/1193-5p/3529,6,0
miR-380/380-3p,0,0
miR-382,7,0
miR-383,0,0
miR-384/384-3p,0,0
miR-409-3p,7,0
miR-409-5p/409a,1,0
miR-410/344de/344b-1-3p,1,0
miR-411,1,0
miR-412/3551-5p,0,0
miR-431,0,0
miR-432,1,0
miR-433,1,0
miR-448/448-3p,0,0
miR-450b-3p/769-3p,8,0
miR-451,4,0
miR-452/4676-3p,0,0
miR-483-3p,0,0
miR-483-5p,4,0
miR-485-3p,0,0
miR-485-5p/1698/1703/1962,0,0
miR-486-3p,0,0
miR-486-5p/3107,0,0
miR-487a,0,0
miR-487b,2,0
miR-488,2,0
miR-489/1662,0,0
miR-490-3p,0,0
miR-490-5p,0,0
miR-491-3p,1,0
miR-492,0,0
miR-493/493b,3,0
miR-494,0,0
miR-495/1192,5,0
miR-496,0,0
miR-498,0,0
miR-499-3p/499a-3p,0,0
miR-499-5p,3,0
miR-502-5p,3,0
miR-504/4725-5p,7,0
miR-507/557,0,0
miR-508-3p,1,0
miR-508-5p/509-5p,0,0
miR-509-5p/509-3-5p/4418,1,0
miR-509ab/509-3p,0,0
miR-510,1,0
miR-511,0,0
miR-512-5p,0,0
miR-513a-3p,0,0
miR-513a-5p,0,0
miR-513b/3585-5p,0,0
miR-513c/514b-5p,0,0
miR-514/514b-3p,0,0
miR-515-3p/519e,0,0
miR-515-5p,0,0
miR-516a-3p/1375,0,0
miR-516a-5p,0,0
miR-516b,0,0
miR-517ac,0,0
miR-517b,0,0
miR-518a-5p/520d-5p/524-5p,0,0
miR-518a-5p/527,0,0
miR-518bcf/518a-3p/518d-3p,0,0
miR-518d-5p/519bc-5p520c-5p/523b/526a,0,0
miR-518ef,0,0
miR-519a/519bc-3p/291b-3p/1347,0,0
miR-520a-5p/525-5p/2464-3p,0,0
miR-520gh,0,0
miR-521,0,0
miR-522/518e/1422p,0,0
miR-523,0,0
miR-524-3p/525-3p,0,0
miR-526b,0,0
miR-539/539-5p,0,0
miR-542-5p,0,0
miR-543,0,0
miR-544/544ab/544-3p,0,0
miR-545,1,0
miR-548abakhjiwy/548abcd-5p/559,1,0
miR-548b-3p,4,0
miR-548c-3p,0,0
miR-548d-3p/548acbz,3,0
miR-548g,0,0
miR-548k,5,0
miR-548l,0,0
miR-548m,0,0
miR-548n/570,0,0
