mirna	gene
let-7/98/4458/4500	A1CF
miR-15abc/16/16abc/195/322/424/497/1907	A1CF
miR-17/17-5p/20ab/20b-5p/93/106ab/427/518a-3p/519d	A1CF
miR-26ab/1297/4465	A1CF
miR-30abcdef/30abe-5p/384-5p	A1CF
miR-31	A1CF
miR-27abc/27a-3p	A1CF
miR-33ab/33-5p	A1CF
miR-93/93a/105/106a/291a-3p/294/295/302abcde/372/373/428/519a/520be/520acd-3p/1378/1420ac	A1CF
miR-143/1721/4770	A1CF
miR-182	A1CF
miR-200bc/429/548a	A1CF
miR-129-5p/129ab-5p	A1CF
miR-590-3p	A1CF
miR-873	A2LD1
miR-382	A2LD1
miR-93/93a/105/106a/291a-3p/294/295/302abcde/372/373/428/519a/520be/520acd-3p/1378/1420ac	A2LD1
miR-361-5p	A2LD1
miR-874	A2LD1
miR-758	A2LD1
miR-539/539-5p	A2ML1
miR-590-3p	AADAT
miR-34ac/34bc-5p/449abc/449c-5p	AAGAB
miR-93/93a/105/106a/291a-3p/294/295/302abcde/372/373/428/519a/520be/520acd-3p/1378/1420ac	AAK1
miR-26ab/1297/4465	AAK1
miR-27abc/27a-3p	AAK1
miR-24/24ab/24-3p	AAK1
miR-25/32/92abc/363/363-3p/367	AAK1
miR-182	AAK1
miR-183	AAK1
miR-139-5p	AAK1
miR-153	AAK1
miR-155	AAK1
miR-181abcd/4262	AAK1
miR-17/17-5p/20ab/20b-5p/93/106ab/427/518a-3p/519d	AAK1
let-7/98/4458/4500	AAK1
miR-9/9ab	AAK1
miR-10abc/10a-5p	AAK1
miR-19ab	AAK1
miR-340-5p	AAK1
miR-361-5p	AAK1
miR-149	AAK1
miR-378/422a/378bcdefhi	AAK1
miR-376abd/376b-3p	AAK1
miR-433	AAK1
miR-379/1193-5p/3529	AAK1
miR-539/539-5p	AAK1
miR-202-3p	AAK1
miR-370	AAK1
miR-486-5p/3107	AAK1
miR-136	AAK1
miR-544/544ab/544-3p	AAK1
miR-384/384-3p	AAK1
miR-653	AAK1
miR-590-3p	AAK1
miR-382	AAK1
miR-495/1192	AAK1
miR-28-5p/708/1407/1653/3139	AAK1
miR-300/381/539-3p	AAK1
miR-499-5p	AAK1
miR-203	AAK1
miR-190/190ab	AAK1
miR-196abc	AAK1
miR-193/193b/193a-3p	AAK1
miR-204/204b/211	AAK1
miR-208ab/208ab-3p	AAK1
miR-214/761/3619-5p	AAK1
miR-205/205ab	AAK1
miR-217	AAK1
miR-200bc/429/548a	AAK1
miR-221/222/222ab/1928	AAK1
miR-338/338-3p	AAK1
miR-122/122a/1352	AAK1
