tab	table	pipeline_step	name	column	pretty_name	order
Model	Prediction and response	model-prediction	prediction	mirna	miRNA family	1
Model	Prediction and response	model-prediction	prediction	gene	mRNA target (Gene Symbol)	2
Model	Prediction and response	model-prediction	prediction	Total.num.conserved.sites	Total number of conserved sites	13
Model	Prediction and response	model-prediction	prediction	Number.of.conserved.8mer.sites	Number of conserved 8mer sites	14
Model	Prediction and response	model-prediction	prediction	Number.of.conserved.7mer.m8.sites	Number of conserved 7mer m8 sites	15
Model	Prediction and response	model-prediction	prediction	Number.of.conserved.7mer.1a.sites	Number of conserved 7mer 1A sites	16
Model	Prediction and response	model-prediction	prediction	Total.num.nonconserved.sites	Total number of nonconserved sites	17
Model	Prediction and response	model-prediction	prediction	Number.of.nonconserved.8mer.sites	Number of nonconserved 8mer sites	18
Model	Prediction and response	model-prediction	prediction	Number.of.nonconserved.7mer.m8.sites	Number of nonconserved 7mer m8 sites	19
Model	Prediction and response	model-prediction	prediction	Number.of.nonconserved.7mer.1a.sites	Number of nonconserved 7mer 1A sites	20
Model	Prediction and response	model-prediction	prediction	Total.context.score	Total context score	21
Model	Prediction and response	model-prediction	prediction	Aggregate.PCT	Aggregate PCT	22
Model	Prediction and response	model-prediction	prediction	mirna.mean	miRNA expression mean 	7
Model	Prediction and response	model-prediction	prediction	mirna.var	miRNA variability	8
Model	Prediction and response	model-prediction	prediction	mrna.mean	mRNA mean expression	9
Model	Prediction and response	model-prediction	prediction	mrna.var	mRNA variability	10
Model	Prediction and response	model-prediction	prediction	Interaction	miRNA-mRNA interaction term	11
Model	Prediction and response	model-prediction	prediction	Interaction2	miRNA-mRNA interaction term (absolute mRNA abundance)	12
Model	Prediction and response	model-prediction	prediction	Parclipped	PAR-CLIP (seed matched)	3
Model	Prediction and response	model-prediction	prediction	Parclipped.by.any.miRNA	PAR-CLIP (isolated)	4
Model	Prediction and response	model-prediction	prediction	response	Model response	5
Model	Prediction and response	model-prediction	prediction	prediction	Model prediction	6
Model	Coefficients	model-prediction	coefficients	variable	Variable	1
Model	Coefficients	model-prediction	coefficients	mean.parclip	mRNA mean expression for PAR-CLIP isolated genes	10
Model	Coefficients	model-prediction	coefficients	mean.non.parclip	mRNA mean expression for non-PAR-CLIP isolated genes	11
Model	Coefficients	model-prediction	coefficients	univar.correlation	Univariate correlation	2
Model	Coefficients	model-prediction	coefficients	univar.correlation.pval	Univariate correlation p-value	3
Model	Coefficients	model-prediction	coefficients	univar.correlation.pval.adj	Univariate correlation adjusted p-value	4
Model	Coefficients	model-prediction	coefficients	univar.auc	Univariate AUC	5
Model	Coefficients	model-prediction	coefficients	glmnet.multivar.coef	glmnet multivariate coefficient	7
Model	Coefficients	model-prediction	coefficients	glmnet.included	Selected by LASSO	6
Model	Coefficients	model-prediction	coefficients	glm.multivar.coef	glm multivariate coefficient	8
Model	Coefficients	model-prediction	coefficients	glm.multivar.pval	glm multiariate p-value	9
Genesets and pathways	Associations	genesets-and-pathways-associations	mir-based_globaltests	mir	miRNA family	1
Genesets and pathways	Associations	genesets-and-pathways-associations	mir-based_globaltests	subset	Gene subset	2
Genesets and pathways	Associations	genesets-and-pathways-associations	mir-based_globaltests	gt.p.value	Global Test p-value	5
Genesets and pathways	Associations	genesets-and-pathways-associations	mir-based_globaltests	gt.statistic	Global Test statistic	6
Genesets and pathways	Associations	genesets-and-pathways-associations	mir-based_globaltests	gt.expected	Global Test expected	7
Genesets and pathways	Associations	genesets-and-pathways-associations	mir-based_globaltests	gt.stdv	Global Test stdev	8
Genesets and pathways	Associations	genesets-and-pathways-associations	mir-based_globaltests	gt.n	Number of genes in subset	3
Genesets and pathways	Associations	genesets-and-pathways-associations	mir-based_globaltests	p.value.adjusted	Global Test adjusted p-value	4
Genesets and pathways	Pathway characteristics	tables-and-figures	pathway_characteristics	pathway	KEGG pathway	1
Genesets and pathways	Pathway characteristics	tables-and-figures	pathway_characteristics	miRNA	miRNA family	2
Genesets and pathways	Pathway characteristics	tables-and-figures	pathway_characteristics	Global.Test.p.value	Global test p-value	3
