#Raw,mRNA clone number,cluster name,3'UTR,CDS,5'UTR,EXONIC,INTRONIC,G-1 Fraction,G-1 Freq,T2C Fraction,T2C Freq,T2C and G-1 Fraction,T2C and G-1 Freq,#T2C positions
1,1032,slc3028_chr16,1,0,0,1,0,0.695,717,0.965,996,0.671,692,9
2,704,slc1748_chr14,1,0,0,0.83,0.17,0.94,662,0.957,674,0.901,634,8
3,696,slc2354_chr4,1,0,0,1,0,0.941,655,0.95,661,0.898,625,9
4,660,slc4378_chr17,1,0,0,1,0,0.877,579,0.97,640,0.852,562,10
5,604,slc4946_chr17,1,0,0,1,0,0.788,476,0.949,573,0.753,455,12
6,576,slc3917_chr16,1,0,0,1,0,0.993,572,0.974,561,0.967,557,3
7,556,slc249_chr15,NULL,NULL,NULL,0.5,0.5,0.926,515,0.971,540,0.899,500,3
8,537,slc4223_chr7,1,0,0,1,0,0.87,467,0.912,490,0.797,428,12
9,529,slc4161_chr11,0,1,0,1,0,0.934,494,0.957,506,0.898,475,13
10,510,slc1629_chr19,1,0,0,1,0,0.976,498,0.973,496,0.949,484,8
11,446,slc1935_chr7,1,0,0,1,0,0.857,382,0.91,406,0.787,351,12
12,419,slc2671_chr11,0,1,0,NULL,NULL,0,0,0,0,0,0,0
13,417,slc1265_chr20,1,0,0,0.58,0.42,0.784,327,0.835,348,0.64,267,34
14,403,slc3779_chr4,1,0,0,1,0,0.955,385,0.846,341,0.809,326,10
15,380,slc2387_chr1,0,1,0,1,0,0.942,358,0.966,367,0.908,345,2
16,377,slc808_chr12,1,0,0,1,0,0.958,361,0.973,367,0.934,352,13
17,363,slc7152_chr1,1,0,0,0.8,0.2,0.923,335,0.967,351,0.895,325,8
18,358,slc1639_chr11,1,0,0,0.83,0.17,0.763,273,0.919,329,0.707,253,26
19,343,slc1526_chr12,1,0,0,1,0,0.93,319,0.91,312,0.851,292,9
20,339,slc5989_chr3,0.1,0.9,0,1,0,0.195,66,0.024,8,0.009,3,7
21,321,slc88_chr13,1,0,0,0.75,0.25,0.841,270,0.966,310,0.813,261,6
22,303,slc1248_chr20,1,0,0,0.67,0.33,0.977,296,0.977,296,0.957,290,8
23,289,slc4606_chr5,0,1,0,1,0,0.924,267,0.855,247,0.789,228,6
24,279,slc72_chr10,1,0,0,NULL,NULL,1,279,0,0,0,0,0
25,273,slc352_chr5,0.5,0,0.5,0.67,0.33,0.96,262,0.963,263,0.938,256,6
26,270,slc5995_chr3,0,1,0,1,0,0.256,69,0.007,2,0,0,2
27,261,slc1242_chr12,1,0,0,1,0,0.969,253,0.939,245,0.908,237,2
28,256,slc3916_chr14,0,1,0,1,0,0.945,242,0.84,215,0.797,204,9
29,251,slc4063_chr6,1,0,0,1,0,0.777,195,0.908,228,0.717,180,6
30,246,slc2585_chr1,0,1,0,0.5,0.5,0.943,232,0.923,227,0.878,216,7
31,245,slc371_chr6,1,0,0,1,0,0.988,242,0.478,117,0.473,116,5
32,244,slc800_chr9,NULL,NULL,NULL,1,0,0,0,0.262,64,0,0,6
33,236,slc1263_chr20,1,0,0,0.67,0.33,0.86,203,0.966,228,0.835,197,4
34,233,slc250_chr15,NULL,NULL,NULL,0.5,0.5,0.953,222,0.91,212,0.867,202,5
35,229,slc4660_chr11,NULL,NULL,NULL,1,0,0.961,220,0.961,220,0.93,213,4
36,226,slc1953_chrX,1,0,0,1,0,0.889,201,0.841,190,0.748,169,8
37,223,slc2691_chr6,1,0,0,1,0,1,223,0.978,218,0.978,218,3
38,222,slc5981_chr3,0.09,0.91,0,0.98,0.02,0.347,77,0.014,3,0.005,1,3
39,221,slc8953_chr1,1,0,0,1,0,0.932,206,0.937,207,0.882,195,7
40,221,slc5982_chr3,0.09,0.91,0,1,0,0.321,71,0.009,2,0.005,1,2
41,216,slc262_chr12,1,0,0,1,0,0.954,206,0.963,208,0.921,199,3
42,215,slc1144_chr15,1,0,0,1,0,0.926,199,0.958,206,0.884,190,7
43,202,slc2665_chr7,0,1,0,1,0,0.733,148,0.946,191,0.693,140,6
44,202,slc1498_chr12,0.05,0.95,0,0.53,0.47,0.752,152,0.931,188,0.698,141,12
45,201,slc3400_chr14,1,0,0,0.5,0.5,0.861,173,0.935,188,0.806,162,12
46,199,slc479_chr6,1,0,0,1,0,0.985,196,0.945,188,0.93,185,6
47,195,slc1643_chr11,1,0,0,0.86,0.14,1,195,0.964,188,0.964,188,6
48,187,slc5318_chr12,1,0,0,1,0,0.914,171,0.973,182,0.888,166,7
49,185,slc2562_chr6,1,0,0,1,0,0.876,162,0.968,179,0.843,156,3
50,185,slc1885_chr7,1,0,0,1,0,0.87,161,0.908,168,0.805,149,5
51,183,slc4583_chr17,1,0,0,1,0,0.891,163,0.945,173,0.847,155,8
52,181,slc814_chr9,1,0,0,1,0,0.994,180,0.983,178,0.978,177,1
53,177,slc1044_chr6,1,0,0,1,0,0.814,144,0.91,161,0.751,133,9
54,174,slc9095_chr1,0,1,0,1,0,0.948,165,0.08,14,0.08,14,5
55,168,slc197_chr10,1,0,0,1,0,0.929,156,0.952,160,0.887,149,10
56,166,slc2976_chr5,1,0,0,1,0,0.958,159,0.916,152,0.873,145,6
57,165,slc3885_chr12,1,0,0,1,0,0.848,140,0.976,161,0.824,136,6
58,164,slc3695_chr2,1,0,0,1,0,0.634,104,0.866,142,0.543,89,7
59,163,slc6752_chr1,NULL,NULL,NULL,0,1,0,0,0,0,0,0,0
60,158,slc8838_chr1,1,0,0,0.92,0.08,0.88,139,0.405,64,0.348,55,16
61,154,slc2656_chr1,0,1,0,NULL,NULL,0.123,19,0.032,5,0.006,1,4
62,153,slc5098_chr5,NULL,NULL,NULL,0.02,0.98,0.954,146,0.033,5,0.033,5,3
63,153,slc503_chr22,1,0,0,1,0,0.961,147,0.961,147,0.922,141,7
64,153,slc1926_chr16,1,0,0,1,0,0.902,138,0.974,149,0.876,134,4
65,152,slc4169_chr6,0,1,0,1,0,0.789,120,0.934,142,0.724,110,4
66,152,slc3808_chr14,1,0,0,1,0,0.855,130,0.901,137,0.783,119,12
67,151,slc1898_chr6,1,0,0,1,0,0.927,140,0.967,146,0.901,136,3
