"","miRNA","GeneID","CCR","mRNA.clone.number","cluster.name","X3.UTR","CDS","X5.UTR","EXONIC","INTRONIC","G.1.Fraction","G.1.Freq","T2C.Fraction","T2C.Freq","T2C.and.G.1.Fraction","T2C.and.G.1.Freq","X.T2C.positions"
"1","hsa-miR-200b","TJAP1","slc1004_chr6",22,"slc1004_chr6",1,0,0,0.94,0.06,0.364,8,0.455,10,0.273,6,2
"2","hsa-miR-200c","TJAP1","slc1004_chr6",22,"slc1004_chr6",1,0,0,0.94,0.06,0.364,8,0.455,10,0.273,6,2
"3","hsa-miR-191","TJAP1","slc1005_chr6",7,"slc1005_chr6",1,0,0,0.94,0.06,1,7,0.857,6,0.857,6,3
"4","hsa-miR-27a","SGPL1","slc1008_chr10",7,"slc1008_chr10",1,0,0,1,0,0.857,6,1,7,0.857,6,2
"5","hsa-miR-27b","SGPL1","slc1008_chr10",7,"slc1008_chr10",1,0,0,1,0,0.857,6,1,7,0.857,6,2
"6","hsa-miR-27a","CDC25B","slc100_chr20",11,"slc100_chr20",0,1,0,0.94,0.06,0.818,9,1,11,0.818,9,5
"7","hsa-miR-27b","CDC25B","slc100_chr20",11,"slc100_chr20",0,1,0,0.94,0.06,0.818,9,1,11,0.818,9,5
"8","hsa-miR-203","RHOBTB3","slc1010_chr5",11,"slc1010_chr5",0,1,0,1,0,1,11,0.545,6,0.545,6,4
"9","hsa-miR-425","SLC3A2","slc1013_chr11",7,"slc1013_chr11",0.12,0.88,0,1,0,1,7,0.857,6,0.857,6,2
"10","hsa-miR-24","SLC3A2","slc1017_chr11",7,"slc1017_chr11",0,1,0,1,0,0.857,6,0.429,3,0.286,2,2
"11","hsa-miR-101","DAG1","slc1018_chr3",5,"slc1018_chr3",1,0,0,1,0,0.8,4,0.6,3,0.6,3,1
"12","hsa-miR-27a","NECAB1","slc1018_chr8",8,"slc1018_chr8",1,0,0,1,0,0.625,5,1,8,0.625,5,2
"13","hsa-miR-27b","NECAB1","slc1018_chr8",8,"slc1018_chr8",1,0,0,1,0,0.625,5,1,8,0.625,5,2
"14","hsa-miR-196a","BACH1","slc101_chr21",15,"slc101_chr21",1,0,0,1,0,0.8,12,0.933,14,0.733,11,5
"15","hsa-let-7a","BACH1","slc101_chr21",15,"slc101_chr21",1,0,0,1,0,0.8,12,0.933,14,0.733,11,5
"16","hsa-let-7b","BACH1","slc101_chr21",15,"slc101_chr21",1,0,0,1,0,0.8,12,0.933,14,0.733,11,5
"17","hsa-let-7c","BACH1","slc101_chr21",15,"slc101_chr21",1,0,0,1,0,0.8,12,0.933,14,0.733,11,5
"18","hsa-let-7d","BACH1","slc101_chr21",15,"slc101_chr21",1,0,0,1,0,0.8,12,0.933,14,0.733,11,5
"19","hsa-let-7e","BACH1","slc101_chr21",15,"slc101_chr21",1,0,0,1,0,0.8,12,0.933,14,0.733,11,5
"20","hsa-let-7f","BACH1","slc101_chr21",15,"slc101_chr21",1,0,0,1,0,0.8,12,0.933,14,0.733,11,5
"21","hsa-let-7g","BACH1","slc101_chr21",15,"slc101_chr21",1,0,0,1,0,0.8,12,0.933,14,0.733,11,5
"22","hsa-let-7i","BACH1","slc101_chr21",15,"slc101_chr21",1,0,0,1,0,0.8,12,0.933,14,0.733,11,5
"23","hsa-miR-98","BACH1","slc101_chr21",15,"slc101_chr21",1,0,0,1,0,0.8,12,0.933,14,0.733,11,5
"24","hsa-miR-103","TARBP2","slc1021_chr12",5,"slc1021_chr12",1,0,0,1,0,0.8,4,0.8,4,0.6,3,3
"25","hsa-miR-107","TARBP2","slc1021_chr12",5,"slc1021_chr12",1,0,0,1,0,0.8,4,0.8,4,0.6,3,3
"26","hsa-miR-16","TARBP2","slc1021_chr12",5,"slc1021_chr12",1,0,0,1,0,0.8,4,0.8,4,0.6,3,3
"27","hsa-miR-424","TARBP2","slc1021_chr12",5,"slc1021_chr12",1,0,0,1,0,0.8,4,0.8,4,0.6,3,3
"28","hsa-miR-26a","CDS1","slc1022_chr4",29,"slc1022_chr4",1,0,0,1,0,0.69,20,0.793,23,0.621,18,5
"29","hsa-miR-26b","CDS1","slc1022_chr4",29,"slc1022_chr4",1,0,0,1,0,0.69,20,0.793,23,0.621,18,5
"30","hsa-miR-26a","OTUD6B","slc1026_chr8",7,"slc1026_chr8",1,0,0,1,0,1,7,1,7,1,7,2
"31","hsa-miR-26b","OTUD6B","slc1026_chr8",7,"slc1026_chr8",1,0,0,1,0,1,7,1,7,1,7,2
"32","hsa-miR-200b","XIAP","slc1029_chrX",11,"slc1029_chrX",1,0,0,1,0,0.818,9,0.545,6,0.455,5,3
"33","hsa-miR-200c","XIAP","slc1029_chrX",11,"slc1029_chrX",1,0,0,1,0,0.818,9,0.545,6,0.455,5,3
"34","hsa-miR-301a","SLC44A1","slc1031_chr9",8,"slc1031_chr9",1,0,0,0.83,0.17,1,8,1,8,1,8,3
"35","hsa-miR-181a","DGCR2","slc1032_chr22",24,"slc1032_chr22",1,0,0,1,0,0.875,21,0.917,22,0.792,19,7
"36","hsa-miR-181b","DGCR2","slc1032_chr22",24,"slc1032_chr22",1,0,0,1,0,0.875,21,0.917,22,0.792,19,7
"37","hsa-miR-30a","OTUD6B","slc1032_chr8",5,"slc1032_chr8",1,0,0,1,0,1,5,1,5,1,5,1
"38","hsa-miR-30b","OTUD6B","slc1032_chr8",5,"slc1032_chr8",1,0,0,1,0,1,5,1,5,1,5,1
"39","hsa-miR-30c","OTUD6B","slc1032_chr8",5,"slc1032_chr8",1,0,0,1,0,1,5,1,5,1,5,1
"40","hsa-miR-30d","OTUD6B","slc1032_chr8",5,"slc1032_chr8",1,0,0,1,0,1,5,1,5,1,5,1
"41","hsa-miR-30e","OTUD6B","slc1032_chr8",5,"slc1032_chr8",1,0,0,1,0,1,5,1,5,1,5,1
"42","hsa-miR-22","PIGW","slc1033_chr17",11,"slc1033_chr17",0,1,0,1,0,1,11,1,11,1,11,4
"43","hsa-miR-101","DDIT4","slc1037_chr10",8,"slc1037_chr10",1,0,0,1,0,0.875,7,1,8,0.875,7,3
"44","hsa-let-7a","HOXC10","slc1039_chr12",6,"slc1039_chr12",0,1,0,1,0,1,6,0.667,4,0.667,4,2
"45","hsa-let-7b","HOXC10","slc1039_chr12",6,"slc1039_chr12",0,1,0,1,0,1,6,0.667,4,0.667,4,2
"46","hsa-let-7c","HOXC10","slc1039_chr12",6,"slc1039_chr12",0,1,0,1,0,1,6,0.667,4,0.667,4,2
"47","hsa-let-7d","HOXC10","slc1039_chr12",6,"slc1039_chr12",0,1,0,1,0,1,6,0.667,4,0.667,4,2
"48","hsa-let-7e","HOXC10","slc1039_chr12",6,"slc1039_chr12",0,1,0,1,0,1,6,0.667,4,0.667,4,2
"49","hsa-let-7f","HOXC10","slc1039_chr12",6,"slc1039_chr12",0,1,0,1,0,1,6,0.667,4,0.667,4,2
"50","hsa-let-7g","HOXC10","slc1039_chr12",6,"slc1039_chr12",0,1,0,1,0,1,6,0.667,4,0.667,4,2
"51","hsa-let-7i","HOXC10","slc1039_chr12",6,"slc1039_chr12",0,1,0,1,0,1,6,0.667,4,0.667,4,2
"52","hsa-miR-98","HOXC10","slc1039_chr12",6,"slc1039_chr12",0,1,0,1,0,1,6,0.667,4,0.667,4,2
"53","hsa-miR-181a","DDIT4","slc1040_chr10",11,"slc1040_chr10",1,0,0,1,0,0.909,10,1,11,0.909,10,3
"54","hsa-miR-181b","DDIT4","slc1040_chr10",11,"slc1040_chr10",1,0,0,1,0,0.909,10,1,11,0.909,10,3
"55","hsa-let-7a","SEMA3F","slc1040_chr3",7,"slc1040_chr3",1,0,0,1,0,1,7,1,7,1,7,3
"56","hsa-let-7b","SEMA3F","slc1040_chr3",7,"slc1040_chr3",1,0,0,1,0,1,7,1,7,1,7,3
"57","hsa-let-7c","SEMA3F","slc1040_chr3",7,"slc1040_chr3",1,0,0,1,0,1,7,1,7,1,7,3
"58","hsa-let-7d","SEMA3F","slc1040_chr3",7,"slc1040_chr3",1,0,0,1,0,1,7,1,7,1,7,3
"59","hsa-let-7e","SEMA3F","slc1040_chr3",7,"slc1040_chr3",1,0,0,1,0,1,7,1,7,1,7,3
"60","hsa-let-7f","SEMA3F","slc1040_chr3",7,"slc1040_chr3",1,0,0,1,0,1,7,1,7,1,7,3
"61","hsa-let-7g","SEMA3F","slc1040_chr3",7,"slc1040_chr3",1,0,0,1,0,1,7,1,7,1,7,3
"62","hsa-let-7i","SEMA3F","slc1040_chr3",7,"slc1040_chr3",1,0,0,1,0,1,7,1,7,1,7,3
"63","hsa-miR-98","SEMA3F","slc1040_chr3",7,"slc1040_chr3",1,0,0,1,0,1,7,1,7,1,7,3
"64","hsa-miR-27a","FUT8","slc1041_chr14",7,"slc1041_chr14",0,1,0,0.13,0.87,1,7,1,7,1,7,1
