,reporter_id,precursor,Anders,hugo_symbol,utr_length,intron_counts,target_count,multicopy,own_promoter
1,OPERON_303423,hsa-let-7f-2,hsa-let-7f,HUWE1,517,5,1,1,1
2,OPERON_305220,hsa-let-7f-2,hsa-let-7f,HUWE1,517,5,1,1,1
3,OPERON_303424,hsa-let-7f-2,hsa-let-7f,HUWE1,517,5,1,1,1
4,OPERON_327250,hsa-mir-1-1,hsa-miR-1,C20orf166,80,3,0,1,0
5,OPERON_309488,hsa-mir-101-2,hsa-miR-101,RCL1,789,5,2,1,0
6,OPERON_309484,hsa-mir-103-1,hsa-miR-103a,PANK3,1945,1,29,1,0
7,OPERON_310799,hsa-mir-103-2,hsa-miR-103a,PANK2,560,6,0,1,0
8,OPERON_300613,hsa-mir-105-1,hsa-miR-105,GABRA3,1065,2,4,1,0
9,OPERON_300613,hsa-mir-105-2,hsa-miR-105,GABRA3,1065,2,4,1,0
10,OPERON_322914,hsa-mir-106b,hsa-miR-106b,MCM7,150,8,0,0,1
11,OPERON_322913,hsa-mir-106b,hsa-miR-106b,MCM7,150,8,0,0,1
12,OPERON_322915,hsa-mir-106b,hsa-miR-106b,MCM7,150,8,0,0,1
13,OPERON_318185,hsa-mir-107,hsa-miR-107,PANK1,1413,5,15,0,1
14,OPERON_318186,hsa-mir-107,hsa-miR-107,PANK1,1413,5,15,0,1
15,OPERON_309480,hsa-mir-10a,hsa-miR-10a,HOXB3,1462,5,33,0,0
16,OPERON_309481,hsa-mir-10a,hsa-miR-10a,HOXB3,1462,5,33,0,0
17,OPERON_311430,hsa-mir-10b,hsa-miR-10b,HOXD3,824,1,0,0,0
18,OPERON_306857,hsa-mir-1180,hsa-miR-1180,B9D1,148,7,0,0,0
19,OPERON_306855,hsa-mir-1180,hsa-miR-1180,B9D1,148,7,0,0,0
20,OPERON_323983,hsa-mir-1245,NA,COL3A1,972,3,15,0,1
21,OPERON_333927,hsa-mir-1250,NA,AATK,1636,2,17,0,0
22,OPERON_333928,hsa-mir-1250,NA,AATK,1636,2,17,0,0
23,OPERON_302031,hsa-mir-1252,NA,SYT1,1936,3,49,0,0
24,OPERON_314676,hsa-mir-1255a,NA,PPP3CA,2434,3,25,0,1
25,OPERON_314675,hsa-mir-1255a,NA,PPP3CA,2434,3,25,0,1
26,OPERON_302560,hsa-mir-1256,NA,EIF4G3,835,9,1,0,0
27,OPERON_302559,hsa-mir-1256,NA,EIF4G3,835,9,1,0,0
28,OPERON_302561,hsa-mir-1256,NA,EIF4G3,835,9,1,0,0
29,OPERON_316215,hsa-mir-1258,hsa-miR-1258,ZNF385B,1265,1,10,0,0
30,OPERON_316216,hsa-mir-1258,hsa-miR-1258,ZNF385B,1265,1,10,0,0
31,OPERON_326379,hsa-mir-126,hsa-miR-126,EGFL7,391,5,0,0,1
32,OPERON_326380,hsa-mir-126,hsa-miR-126,EGFL7,391,5,0,0,1
33,OPERON_316972,hsa-mir-1264,NA,HTR2C,2646,3,15,0,0
34,OPERON_311472,hsa-mir-1266,hsa-miR-1266,MYO5C,1578,2,2,0,1
35,OPERON_327821,hsa-mir-1271,hsa-miR-1271,ARL10,1605,1,14,0,1
36,OPERON_312262,hsa-mir-1277,hsa-miR-1277,WDR44,971,5,19,0,0
37,OPERON_312261,hsa-mir-1277,hsa-miR-1277,WDR44,971,5,19,0,0
38,OPERON_313042,hsa-mir-1278,NA,CDC73,1214,4,3,0,1
39,OPERON_301317,hsa-mir-128-1,hsa-miR-128,R3HDM1,974,8,7,1,1
40,OPERON_326453,hsa-mir-128-2,hsa-miR-128,ARPP-21,1856,8,8,1,1
41,OPERON_326455,hsa-mir-128-2,hsa-miR-128,ARPP-21,1856,8,8,1,1
42,OPERON_302648,hsa-mir-128-2,hsa-miR-128,ARPP-21,1856,8,8,1,1
